"","i","con.e","con.se","tre.e","tre.se"
"152",152,183.142,44.006,186.92,32.111
"153",153,140.491,42.028,162.191,40.726
"154",154,132.985,39.514,243.798,46.212
"155",155,236.88,38.089,157.483,36.451
"156",156,255.755,34.854,235.36,32.348
"157",157,161.323,45.372,191.812,40.519
"158",158,265.09,27.279,225.303,34.73
"159",159,105.47,28.197,224.229,24.04
"160",160,140.862,38.832,253.334,38.934
"161",161,160.167,37.582,147.145,40.508
"162",162,165.134,41.494,222.486,43.873
"163",163,202.793,34.114,191.15,33.432
"164",164,104.427,35.211,197.301,37.333
"165",165,186.934,32.144,182.374,24.696
"166",166,223.513,40.332,245.633,34.725
"167",167,203.109,35.058,191.346,38.776
"168",168,216.348,44.031,141.704,37.585
"169",169,217.801,46.17,126.657,32.691
"170",170,150.442,36.772,123.33,38.908
"171",171,147.925,45.062,243.05,35.833
"172",172,169.85,41.558,214.435,45.348
"173",173,169.79,44.344,274.281,21.438
"174",174,130.706,38.844,223.492,38.336
"175",175,249.282,44.543,190.607,39.707
"176",176,225.349,48.806,205.239,43.769
"177",177,233.402,41.813,195.018,37.089
"178",178,208.026,35.289,224.236,40.379
"179",179,176.381,44.935,254.626,39.701
"180",180,158.506,38.596,230.193,37.362
"181",181,231.642,32.301,196.228,41.824
"182",182,189.912,35.025,179.04,48.439
"183",183,170.293,40.407,163.826,39.908
"184",184,219.14,42.91,218.997,39.518
"185",185,143.266,33.357,217.166,45.163
"186",186,170.834,40.71,222.841,42.599
"187",187,207.691,43.437,172.893,44.247
"188",188,213.942,38.403,231.681,44.728
"189",189,210.741,43.958,209.209,42.234
"190",190,147.236,38.492,224.95,36.671
"191",191,115.206,26.509,140.215,29.476
"192",192,166.288,38.806,244.167,40.884
"193",193,240.951,47.545,264.226,37.552
"194",194,248.515,36.208,166.726,36.01
"195",195,120.38,42.501,202.173,42.611
"196",196,212.132,41.691,156.923,44.002
"197",197,183.049,38.645,146.123,47.069
"198",198,185.586,45.905,266.151,35.958
"199",199,163.533,36.135,226.75,45.799
"200",200,250.869,36.726,177.852,47.116
"201",201,227.396,38.366,219.478,39.23
"202",202,181.952,42.219,166.847,42.532
"203",203,190.836,40.97,218.08,43.834
"204",204,240.215,38.367,264.63,28.014
"205",205,149.595,29.608,178.257,35.145
"206",206,174.886,41.454,185.583,43.094
"207",207,168.671,45.457,218.424,46.16
"208",208,138.656,38.106,168.419,35.034
"209",209,245.11,17.697,150.544,32.075
"210",210,245.448,37.047,201.064,38.59
"211",211,201.402,42.235,231.602,33.659
"212",212,166.191,47.493,231.677,35.012
"213",213,219.655,35.331,220.748,40.062
"214",214,186.15,31.271,255.008,36.057
"215",215,107.16,28.308,123.422,23.914
"216",216,199.464,38.595,206.762,36.833
"217",217,136.529,37.042,224.709,47.642
"218",218,192.6,37.577,152.388,37.942
"219",219,275.295,40.282,140.569,45.026
"220",220,165.57,38.622,152.669,49.089
"221",221,205.228,46.017,248.402,35.312
"222",222,223.426,46.2,212.9,45.34
"223",223,110.724,31.069,136.23,21.6
"224",224,194.337,47.255,215.678,43.598
"225",225,180.659,38.362,192.004,37.277
"226",226,219.412,35.499,227.955,41.781
"227",227,208.614,45.381,256.106,42.974
"228",228,226.092,42.852,196.539,44.563
"229",229,233.539,40.276,202.243,48.176
"230",230,184.922,33.194,291.693,32.137
"231",231,221.06,40.968,184.495,34.445
"232",232,227.944,40.768,143.317,36.935
"233",233,220.027,38.662,207.179,41.589
"234",234,128.596,16.407,121.778,14.686
"235",235,165,33.626,167.372,30.756
"236",236,219.943,39.259,195.431,31.952
"237",237,178.361,39.394,186.475,46.203
"238",238,279.745,39.658,272.074,33.387
"239",239,204.752,50.612,175.254,26.525
"240",240,177.154,40.055,157.671,37.043
"241",241,214.532,38.679,208.812,36.182
"242",242,254.772,34.532,192.747,37.169
"243",243,161.29,47.717,205.028,49.586
"244",244,184.085,43.092,245.689,37.326
"245",245,166.54,36.118,195.877,45.973
"246",246,174.954,39.851,166.886,34.845
"247",247,144.743,42.272,219.661,41.069
"248",248,192.334,40.869,274.271,38.763
"249",249,228.924,43.929,237.845,41.45
"250",250,107.949,40.237,205.683,41.266
"251",251,160.159,43.945,176.791,39.824
"252",252,182.11,45.936,178.722,42.651
"253",253,124.766,32.453,241.02,29.433
"254",254,143.423,25.532,156.723,28.85
"255",255,202.274,38.742,206.481,49.072
"256",256,207.645,37.023,118.104,36.869
"257",257,192.753,44.378,182.4,28.205
"258",258,209.408,35.678,159.35,41.93
"259",259,107.41,36.291,188.706,45.219
"260",260,157.718,39.168,205.97,39.674
"261",261,153.439,43.049,133.208,38.827
"262",262,172.382,43.46,182.275,38.764
"263",263,128.141,30.098,208.58,37.166
"264",264,124.515,30.876,192.577,40.096
"265",265,175.672,33.914,155.522,42.227
"266",266,187.437,42.566,152.009,41.036
"267",267,169.288,40.019,160.484,36.384
"268",268,229.187,33.088,146.561,34.269
"269",269,176.936,28.966,164.869,35.048
"270",270,183.861,34.992,167.114,42.124
"271",271,164.278,34.212,194.101,36.877
"272",272,244.109,38.662,116.648,33.43
"273",273,214.903,43.561,173.179,43.248
"274",274,270.82,34.788,228.371,42.233
"275",275,149.218,43.491,204.787,38.345
"276",276,209.634,43.272,168.48,38.644
"277",277,181.186,44.122,184.418,40.795
"278",278,265.649,40.951,196.881,47.956
"279",279,237.257,39.861,195.518,40.829
"280",280,130.677,37.559,194.724,48.534
"281",281,258.839,35.107,220.662,43.264
"282",282,150.458,44.201,160.411,37.897
"283",283,133.762,41.791,208.843,40.655
"284",284,210.246,37.239,199.806,42.142
"285",285,171.733,37.376,195.333,36.318
"286",286,206.362,40.914,200.651,36.429
"287",287,253.924,33.371,108.777,35.03
"288",288,245.307,38.681,206.655,41.955
"289",289,181.643,36.022,193.567,43.787
"290",290,221.213,42.798,200.863,37.972
"291",291,224.97,41.266,194.632,36.32
"292",292,183.268,37.781,149.929,30.019
"293",293,92.704,23.759,200.272,28.91
"294",294,156.758,41.74,179.688,35.979
"295",295,183.143,43.003,189.88,34.084
"296",296,181.35,34.801,172.435,37.261
"297",297,172.119,37.741,174.961,41.27
"298",298,214.454,39.096,243.08,45.799
"299",299,241.423,46.103,177.072,39.183
"300",300,229.055,43.364,194.416,33.975
"301",301,227.134,30.406,233.157,43.54
"302",302,200.642,43.653,208.164,40.896
"303",303,126.566,32.256,257.891,38.746
"304",304,141.427,37.531,161.359,28.855
"305",305,219.448,45.225,195.292,41.406
"306",306,252.044,29.108,241.731,44.794
"307",307,185.803,44.117,176.957,40.941
