"","i","con.e","con.se","tre.e","tre.se"
"661",661,163.728,37.715,214.364,40.089
"662",662,93.27,30.34,154.946,31.721
"663",663,228.658,40.187,154.437,45.799
"664",664,203.272,45.956,208.476,41.984
"665",665,156.366,30.285,142.188,38.641
"666",666,215.663,44.087,195.346,42.627
"667",667,193.651,46.526,234.887,32.757
"668",668,224.981,35.405,160.902,41.318
"669",669,211.286,39.892,199.065,40.018
"670",670,119.558,38.42,226.954,43.806
"671",671,159.095,43.838,190.278,42.668
"672",672,208.049,42.631,167.133,38.281
"673",673,181.472,41.223,194.917,44.105
"674",674,230.77,41.853,162.043,42.345
"675",675,176.589,38.214,209.611,39.29
"676",676,191.844,50.328,149.774,44.813
"677",677,154.371,46.549,234.022,41.977
"678",678,217.982,42.028,199.167,29.57
"679",679,201.05,41.331,185.378,40.039
"680",680,129.57,39.497,215.799,43.705
"681",681,220.015,32.588,202.805,50.953
"682",682,244.672,42.539,230.806,39.946
"683",683,138.809,36.946,161.415,44.186
"684",684,197.028,37.605,257.826,41.502
"685",685,149.198,39.616,204.978,38.937
"686",686,287.065,40.877,179.408,40.234
"687",687,131.805,35.754,203.181,50.68
"688",688,166.628,39.571,217.314,47.086
"689",689,244.682,41.383,190.401,42.136
"690",690,94.618,29.1,178.472,37.385
"691",691,144.946,23.578,160.624,35.49
"692",692,220.03,35.446,131.444,39.296
"693",693,208.863,40.567,266.008,32.689
"694",694,233.406,48.229,156.299,30.338
"695",695,222.908,39.898,112.897,39.445
"696",696,138.019,33.088,196.681,46.093
"697",697,185.646,46.051,282.53,36.826
"698",698,126.673,33.705,214.746,41.324
"699",699,119.981,35.431,148.632,45.146
"700",700,208.987,40.594,203.266,44.061
"701",701,209.092,38.554,131.108,35.081
"702",702,198.414,46.818,150.683,44.944
"703",703,170.124,41.164,136.357,42.228
"704",704,219.2,46.595,154.948,37.59
"705",705,157.796,43.477,186.413,34.317
"706",706,177.3,44.543,184.222,37.644
"707",707,169.463,32.689,67.256,32.828
"708",708,230.808,38.986,159.797,41.618
"709",709,199.425,44.64,189.927,48.86
"710",710,197.546,44.191,251.178,37.923
"711",711,180.474,47.661,190.82,46.955
"712",712,210.229,40.534,180.784,35.696
"713",713,190.952,43.279,148.865,30.381
"714",714,113.402,32.715,251.727,31.632
"715",715,240.1,34.491,155.455,41.882
"716",716,224.873,39.684,168.994,43.129
"717",717,188.611,38.728,225.26,33.818
"718",718,149.312,39.696,232.323,33.951
"719",719,179.121,44.532,198.323,45.749
"720",720,78.725,30.039,180.341,36.492
"721",721,185.931,46.026,251.591,35.248
"722",722,197.108,47.943,193.618,43.945
"723",723,266.66,35.976,233.187,46.757
"724",724,205.331,42.413,148.35,38.743
"725",725,195.255,46.346,204.552,45.483
"726",726,115.797,28.688,185.47,31.651
"727",727,302.917,27.334,184.331,43.322
"728",728,235.848,39.681,151.855,45.402
"729",729,186.259,45.438,118.133,29.515
"730",730,194.591,34.672,121.926,30.143
"731",731,225.202,40.708,157.695,43.697
"732",732,200.632,45.335,195.495,46.811
"733",733,198.842,20.253,167.144,27.197
"734",734,178.55,46.315,179.326,33.544
"735",735,166.519,32.496,165.414,34.983
"736",736,243.736,36.954,212.33,42.604
"737",737,165.459,38.718,167.411,35.92
"738",738,157.585,29.241,115.855,29.997
"739",739,189.421,37.142,194.639,32.288
"740",740,175.557,36.761,202.829,36.186
"741",741,184.951,43.647,231.392,41.613
"742",742,190.803,41.535,280.019,39.863
"743",743,174.045,41.38,208.746,49.696
"744",744,226.874,49.692,224.383,36.601
"745",745,165.273,43.402,175.027,37.345
"746",746,155.349,41.982,210.272,41.007
"747",747,176.256,48.903,220.683,45.774
"748",748,233.949,44.217,196.177,41.621
"749",749,211.424,48.183,218.906,33.214
"750",750,137.673,41.113,146.714,45.071
"751",751,257.415,29.054,166.155,30.729
"752",752,145.052,46.203,223.075,42.18
"753",753,184.106,36.277,192.907,36.571
"754",754,228.297,37.683,160.761,38.164
"755",755,202.95,39.893,217.631,45.454
"756",756,99.771,34.515,228.519,40.776
"757",757,230.955,37.47,243.776,39.963
"758",758,190.214,32.514,273.732,37.482
"759",759,237.646,39.348,180.504,41.147
"760",760,197.06,44.886,152.945,38.181
"761",761,231.354,38.317,153.491,47.951
"762",762,189.692,36.549,197.14,33.251
"763",763,184.58,45.582,239.554,40.985
"764",764,119.778,37.129,261.8,44.005
"765",765,156.841,45.358,178.359,45.005
"766",766,224.21,52.621,165.949,43.394
"767",767,162.408,40.761,208.132,46.283
"768",768,202.932,32.808,171.807,37.527
"769",769,224.603,34.505,212.022,39.806
"770",770,211.06,42.611,239.165,37.791
"771",771,261.454,35.224,185.422,39.28
"772",772,201.252,36.66,148.889,38.662
"773",773,310.652,33.701,194.733,42
"774",774,214.779,35.024,146.603,33.05
"775",775,195.999,24.013,245.929,31.284
"776",776,128.027,38.957,284.939,38.847
"777",777,188.508,44.984,192.451,46.263
"778",778,203.29,37.925,216.624,41.24
"779",779,149.818,38.528,200.15,41.637
"780",780,163.26,28.974,167.752,38.92
"781",781,182.26,47.175,169.95,44.853
"782",782,155.205,36.922,177.981,42.839
"783",783,103.544,33.014,229.945,40.228
"784",784,209.481,45.005,188.94,40.771
"785",785,219.317,45.374,164.545,32.256
"786",786,204.844,50.775,159.931,39.151
"787",787,201.292,46.061,244.486,27.284
"788",788,154.175,38.827,194.391,46.89
"789",789,228.515,51.41,208.618,45.271
"790",790,211.802,41.86,218.258,31.965
"791",791,209.03,36.025,191.901,40.949
"792",792,227.68,37.733,225.369,32.377
"793",793,226.896,40.258,207.581,42.564
"794",794,72.866,7.164,53.477,11.516
"795",795,181.652,29.3,243.69,46.367
"796",796,212.581,40.503,180.764,37.855
"797",797,138.254,47.496,187.306,41.472
"798",798,168.222,30.386,195.234,23.813
"799",799,195.817,40.109,185.39,39.955
"800",800,109.516,40.611,202.81,45.203
"801",801,127.709,34.087,223.61,42.858
"802",802,120.72,36.577,121.923,39.465
"803",803,152.479,32.946,257.456,30.031
"804",804,204.192,44.875,181.005,40.056
"805",805,152.643,39.673,183.261,36.495
"806",806,226.823,45.518,260.379,35.295
"807",807,183.858,29.613,199.418,43.505
"808",808,246.659,45.671,165.635,33.531
"809",809,217.942,38.533,218.736,41.286
"810",810,181.098,33.234,285.549,29.025
"811",811,172.487,39.201,192.052,33.136
"812",812,138.629,43.358,242.642,41.778
"813",813,280.242,19.515,206.25,40.217
"814",814,190.727,45.01,280.56,27.406
"815",815,194.848,51.279,248.478,41.044
"816",816,240.731,42.411,203.969,40.227
"817",817,171.721,43.833,175.611,42.583
"818",818,172.525,40.277,187.368,44.113
"819",819,178.838,42.61,145.203,38.564
"820",820,272.346,33.538,211.568,48.173
"821",821,242.091,31.867,230.503,32.187
"822",822,201.057,35.413,169.646,35.988
"823",823,194.23,32.914,147.738,46.191
"824",824,246.012,38.413,228.369,41.343
"825",825,179.851,37.036,211.867,33.564
"826",826,229.894,40.358,193.052,42.732
"827",827,150.544,37.531,181.022,42.144
"828",828,204.714,37.41,91.338,32.522
"829",829,204.369,39.911,197.19,44.691
"830",830,243.282,37.6,226.363,44.676
"831",831,163.141,46.047,161.62,48.639
"832",832,140.122,22.237,56.604,20.808
"833",833,228.522,39.148,180.897,41.775
"834",834,210.798,37.119,269.919,32.502
"835",835,182.89,46.531,218.403,47.459
"836",836,186.096,39.574,237.963,36.163
"837",837,253.235,31.875,199.041,34.941
"838",838,162.887,45.168,244.539,39.397
"839",839,215.1,41.934,241.477,41.682
"840",840,186.947,37.358,219.575,42.774
"841",841,155.62,33.401,223.035,43.9
"842",842,229.685,44.999,164.877,42.251
"843",843,221.861,38.427,238.278,40.072
"844",844,150.683,37.538,253.84,37.663
"845",845,133.313,40.178,175.745,42.796
"846",846,204.17,43.093,229.239,39.663
"847",847,233.934,44.673,157.357,45.571
"848",848,287.224,35.642,265.665,36.99
"849",849,137.183,35.297,246.115,41.972
"850",850,224.238,45.741,200.052,43.043
"851",851,139.892,40.392,205.839,35.705
"852",852,271.592,32.907,142.287,40.734
"853",853,196.815,44.61,235.873,32.116
"854",854,230.993,32.043,203.328,37.698
"855",855,197.653,39.463,206.116,39.009
"856",856,144.262,37.678,167.499,36.342
"857",857,203.292,45.808,149.785,37.594
"858",858,189.546,48.591,222.522,48.026
"859",859,177.845,42.872,195.865,42.78
"860",860,184.354,42.128,176.22,35.918
"861",861,202.495,44.601,188.206,38.071
"862",862,216.222,46.699,222.485,34.355
"863",863,177.553,33.315,155.42,35.511
"864",864,237.474,39.975,195.211,35.211
"865",865,142.804,45.789,214.608,40.744
"866",866,107.726,38.43,294.38,41.555
"867",867,173.19,41.392,231.245,41.137
"868",868,195.718,37.755,198.484,40.091
"869",869,142.974,41.312,189.841,41.071
"870",870,200.822,44.643,215.428,47.441
"871",871,241.289,39.814,246.945,40.039
"872",872,185.625,43.391,213.953,39.998
"873",873,245.216,29.224,161.625,39.543
"874",874,235.303,45.381,196.427,49.335
"875",875,175.487,43.846,218.422,40.926
"876",876,247.373,37.991,210.592,40.726
"877",877,187.156,41.929,142.325,37.527
"878",878,245.574,40.852,176.404,42.089
"879",879,307.21,35.954,153.315,36.27
"880",880,261.405,41.609,270.403,37.567
"881",881,206.202,35.05,212.335,47.797
"882",882,205.473,44.514,178.498,43.012
"883",883,244.953,45.503,158.126,39.271
"884",884,143.671,43.018,241.614,42.663
"885",885,237.557,48.377,106.882,34.009
"886",886,163.4,34.706,163.564,38.657
"887",887,226.14,45.192,249.706,39.338
"888",888,184.687,31.027,217.036,39.727
"889",889,178.074,39.325,183.056,35.781
"890",890,78.765,17.592,128.845,19.107
"891",891,218.431,35.321,233.683,46.986
"892",892,211.673,36.823,249.207,45.546
"893",893,159.006,33.275,217.769,35.811
"894",894,183.296,46.347,187.566,46.287
"895",895,210.589,37.134,239.581,40.348
"896",896,229.046,38.595,231.607,39.217
"897",897,181.442,34.516,130.168,41.123
"898",898,204.121,42.731,188.966,38.537
"899",899,182.021,42.804,268.017,43.246
"900",900,269.793,37.207,181.882,36.974
"901",901,192.233,41.071,234.102,42.39
"902",902,218.966,46.467,221.882,36.777
"903",903,99.414,28.822,194.208,38.451
"904",904,176.188,48.529,148.229,39.584
"905",905,156.769,37.155,178.628,35.85
"906",906,134.998,39.163,168.795,39.534
"907",907,151.005,32.35,154.071,25.226
"908",908,285.587,37.05,271.72,39.181
"909",909,174.752,43.228,197.227,31.603
"910",910,161.529,45.357,175.368,45.427
"911",911,129.911,30.774,144.962,31.604
"912",912,255.296,41.364,247.969,47.964
"913",913,236.361,42.567,215.975,31.397
"914",914,199.392,51.601,174.935,34.921
"915",915,210.207,36.246,206.668,40.557
"916",916,90.143,26.138,216.726,15.764
"917",917,222.465,44.654,122.396,41.424
"918",918,182.837,43.123,253.87,38.549
"919",919,256.545,41.152,220.993,44.301
"920",920,193.425,30.245,156.67,25.942
"921",921,236.986,42.832,210.72,39.272
"922",922,205.41,45.516,134.528,37.459
"923",923,212.325,47.514,238.057,28.689
"924",924,214.47,37.064,143.556,39.986
"925",925,207.995,32.642,281.362,35.407
"926",926,190.723,46.655,227.436,39.16
"927",927,100.073,22.13,182.586,22.622
"928",928,278.11,29.915,203.346,35.523
"929",929,183.879,49.794,252.195,19.251
"930",930,278.052,32.732,160.441,46.496
"931",931,164.971,41.236,201.62,40.796
"932",932,189.261,44.2,186.213,41.072
"933",933,136.267,33.316,188.462,37.501
"934",934,246.926,37.758,183.695,36.044
"935",935,128.993,23.433,170.355,21.62
"936",936,176.504,49.326,221.023,40.728
"937",937,230.593,38.479,241.709,36.624
"938",938,145.951,41.267,140.76,40.137
"939",939,183.876,42.84,199.694,35.178
"940",940,257.83,40.39,152.996,45.047
"941",941,169.424,41.609,164.088,43.259
"942",942,212.545,43.553,176.829,39.956
"943",943,184.993,44.754,121.068,36.241
"944",944,205.811,39.538,231.733,50.35
"945",945,207.3,43.541,205.112,41.808
"946",946,149.301,42.19,207.867,48.873
"947",947,160.704,47.319,121.902,38.282
"948",948,208.048,42.104,248.633,41.466
"949",949,162.848,40.364,174.651,40.192
"950",950,277.469,35.938,279.775,36.025
"951",951,185.023,43.606,253.102,46.059
"952",952,177.33,41.508,177.536,41.682
"953",953,289.214,27.592,230.85,37.14
"954",954,205.786,39.52,181.906,45.502
"955",955,23.206,1.024,24.73,0
"956",956,182.357,47.377,212.842,37.915
"957",957,143.221,41.25,215.411,37.995
"958",958,205.712,33.985,216.738,40.6
"959",959,208.208,43.864,167.23,44.992
"960",960,244.422,35.693,195.401,45.16
"961",961,45.267,4.467,46.429,5.612
"962",962,178.185,45.516,183.129,41.559
"963",963,146.815,36.706,181.6,32.509
"964",964,226.522,37.36,267.237,38.343
"965",965,239.237,43.115,191.804,45.29
"966",966,153.444,35.403,325.99,17.122
"967",967,134.758,30.457,190.794,28.841
"968",968,189.101,30.586,149.487,25.752
"969",969,178.456,40.418,131.527,44.59
"970",970,110.367,29.156,222.039,41.494
"971",971,208.344,43.999,190.974,41.389
"972",972,225.433,46.905,196.329,36.934
"973",973,157.158,32.033,161.334,34.759
"974",974,193.404,41.794,155.893,39.913
"975",975,139.815,43.053,186.818,41.76
"976",976,223.191,48.44,218.273,44.624
"977",977,256.622,41.717,213.651,38.692
"978",978,180.854,32.132,221.999,44.016
"979",979,192.217,39.94,298.624,25.14
"980",980,224.768,46.904,286.016,33.691
"981",981,156.328,43.168,245.877,42.996
"982",982,146.842,39.464,271.498,38.297
"983",983,265.221,36.743,155.784,38.447
"984",984,265.94,29.154,228.291,41.979
"985",985,126.089,36.878,210.223,48.129
"986",986,234.682,37.936,122.543,29.452
"987",987,173.689,41.931,148.087,34.92
"988",988,197.367,47.113,177.557,48.043
"989",989,198.475,36.475,221.054,35.677
"990",990,163.284,42.822,154.99,36.749
"991",991,186.995,41.857,161.458,46.506
"992",992,246.268,44.189,193.71,44.971
"993",993,187.683,43.91,197.673,47.574
"994",994,209.38,44.955,199.028,38.068
"995",995,165.044,41.265,212.984,37.348
"996",996,176.585,42.025,159.975,41.716
"997",997,238.44,37.987,195.369,44.698
"998",998,195.054,37.664,229.703,42.885
"999",999,158.211,43.476,172.379,37.611
"1000",1000,195.956,42.134,208.556,46.628
"1001",1001,176.494,37.01,193.63,41.891
"1002",1002,190.886,38.66,173.039,42.687
"1003",1003,207.572,37.211,162.187,36.585
"1004",1004,188.013,32.458,132.548,44.036
"1005",1005,81.909,13.999,53.26,11.275
"1006",1006,179.333,34.148,154.589,45.945
"1007",1007,188.651,47.408,168.95,42.265
"1008",1008,165.088,36.825,167.361,39.694
"1009",1009,170.25,36.319,219.624,36.88
"1010",1010,138.269,33.876,133.279,37.563
"1011",1011,184.341,48.526,164.808,41.719
"1012",1012,114.072,28.292,126.163,34.205
"1013",1013,132.04,30.598,250.805,36.284
"1014",1014,202.365,42.571,178.591,43.897
"1015",1015,205.166,37.962,116.293,35.563
"1016",1016,164.007,36.21,140.214,44.87
"1017",1017,180.394,33.497,165.192,36.865
"1018",1018,202.629,50.184,252.624,45.234
"1019",1019,144,45.699,236.198,40.933
"1020",1020,151.992,37.104,215.808,39.959
"1021",1021,114.184,31.195,102.575,29.008
"1022",1022,134.784,31.891,162.016,34.591
"1023",1023,169.384,32.326,189.775,43.032
"1024",1024,144.642,29.92,119.64,30.565
"1025",1025,194.453,32.086,274.811,37.387
"1026",1026,154.221,46.404,202.713,38.685
"1027",1027,97.603,27.878,79.176,23.739
"1028",1028,138.482,35.295,176.227,30.927
"1029",1029,179.055,34.935,212.199,42.027
"1030",1030,180.538,35.514,220.453,41.648
"1031",1031,158.89,42.875,176.807,42.219
"1032",1032,118.989,41.397,198.169,50.815
"1033",1033,133.77,40.787,139.353,42.81
"1034",1034,122.79,33.403,164.122,43.664
"1035",1035,146.105,43.45,176.171,48.951
"1036",1036,166.829,48.888,199.35,42.817
"1037",1037,167.811,34.49,200.043,36.611
"1038",1038,245.268,30.542,165.704,40.445
"1039",1039,137.278,42.558,198.02,37.403
"1040",1040,222.759,36.79,138.149,30.969
"1041",1041,160.439,29.19,113.883,33.757
"1042",1042,158.582,42.091,215.974,41.871
"1043",1043,142.652,31.568,122.465,30.376
"1044",1044,212.095,39.409,120.469,28.631
"1045",1045,159.979,43.79,169.832,41.714
"1046",1046,150.415,34.441,177.595,41.614
"1047",1047,165.076,38.152,196.193,48.619
"1048",1048,231.41,35.003,147.424,26.697
"1049",1049,177.181,41.282,215.851,47.794
"1050",1050,123.171,33.005,168.024,36.078
"1051",1051,215.537,45.244,226.864,41.356
"1052",1052,191.694,36.953,151.706,36.511
"1053",1053,215.009,42.839,180.329,40.706
"1054",1054,165.854,42.331,193.894,40.231
"1055",1055,167.578,33.08,228.258,33.319
"1056",1056,180.89,39.807,184.435,38.744
"1057",1057,153.703,36.057,145.164,32.732
"1058",1058,168.488,37.014,128.997,34.88
"1059",1059,198.938,49.735,248.798,35.574
"1060",1060,225.442,43.396,249.581,33.933
"1061",1061,234.152,43.38,214.5,43.65
"1062",1062,230.352,37.922,139.841,40.287
"1063",1063,139.335,35.875,142.732,41.002
"1064",1064,208.27,42.986,171.473,43.856
"1065",1065,201.729,46.245,174.514,44.34
"1066",1066,99.513,23.674,170.417,19.818
"1067",1067,133.244,35.054,172.809,36.724
"1068",1068,132.672,38.907,97.758,34.956
"1069",1069,172.635,37.216,155.128,34.157
"1070",1070,185.348,39.315,120.537,36.85
"1071",1071,147.743,41.351,124.384,43.089
"1072",1072,185.387,46.13,123.096,34.709
"1073",1073,258.598,41.22,161.255,30.57
"1074",1074,158.78,36.501,174.412,41.275
"1075",1075,83.623,16.325,118.006,14.842
"1076",1076,158.205,27.34,197.833,47.416
"1077",1077,103.065,31.725,137.301,43.247
"1078",1078,205.483,39.166,100.084,30.262
"1079",1079,176.36,38.506,159.313,38.458
"1080",1080,110.512,43.258,126.352,34.987
"1081",1081,243.627,32.899,249.652,40.802
"1082",1082,199.82,38.548,200.961,39.68
"1083",1083,117.067,36.327,255.404,41.609
"1084",1084,148.461,45.557,210.791,40.785
"1085",1085,188.071,44.453,174.582,39.262
"1086",1086,146.166,40.922,143.507,49.017
"1087",1087,209.78,46.393,168.166,39.144
"1088",1088,183.406,35.522,158.107,46.867
"1089",1089,120.239,31.67,187.418,44.373
"1090",1090,133.917,30.218,177.034,30.731
"1091",1091,180.643,48.518,149.311,36.589
"1092",1092,221.466,37.646,168.011,41.356
"1093",1093,130.248,39.515,216.609,37.909
"1094",1094,141.139,30.122,122.047,41.296
"1095",1095,203.315,33.941,134.225,31.142
"1096",1096,130.308,37.775,165.863,32.951
"1097",1097,218.785,39.709,174.72,40.979
"1098",1098,171.365,34.57,171.235,37.16
"1099",1099,167.087,37.903,70.023,31.359
"1100",1100,199.484,37.893,139.251,44.139
"1101",1101,84.171,27.31,182.771,30.298
"1102",1102,184.624,39.573,158.029,31.767
"1103",1103,183.132,44.418,186.365,34.561
"1104",1104,171.938,33.296,173.363,36.962
"1105",1105,183.257,35.316,178.329,38.409
"1106",1106,184.115,42.655,107.635,39.462
"1107",1107,137.67,40.091,153.109,35.509
"1108",1108,233.807,37.475,186.522,39.237
"1109",1109,198.475,38.179,209.093,36.787
"1110",1110,110.244,39.677,173.753,41.528
"1111",1111,143.727,35.724,189.113,40.698
"1112",1112,114.667,23.447,143.331,27.769
"1113",1113,191.221,42.784,179.763,38.884
"1114",1114,199.444,41.392,209.605,47.865
"1115",1115,167.173,20.184,98.769,21.718
"1116",1116,162.461,44.233,150.962,40.042
"1117",1117,142.842,31.554,246.493,45.06
"1118",1118,197.416,37.354,111.058,33.173
"1119",1119,151.897,40.287,162.477,42.014
"1120",1120,183.342,32.236,131.616,30.742
"1121",1121,143.311,37.03,206.806,42.302
"1122",1122,91.919,24.701,114.341,26.601
"1123",1123,154.619,38.832,220.217,45.962
"1124",1124,170.941,36.545,202.455,39.809
"1125",1125,190.371,39.852,148.279,44.725
"1126",1126,151.398,36.992,180.893,29.973
"1127",1127,216.713,47.858,200.572,47.878
"1128",1128,142.946,44.26,229.086,45.045
"1129",1129,110.802,41.887,88.458,32.027
"1130",1130,119.481,29.44,167.081,36.408
"1131",1131,104.375,33.989,217.491,37.572
"1132",1132,163.854,37.796,206.91,43.539
"1133",1133,170.988,36.947,171.949,42.374
"1134",1134,162.045,47.088,191.138,39.201
"1135",1135,180.277,29.432,79.806,28.265
"1136",1136,121.001,35.445,213.752,44.895
"1137",1137,278.209,31.723,200.409,35.844
"1138",1138,181.896,40.218,206.315,41.943
"1139",1139,65.284,14.572,91.161,10.835
"1140",1140,142.014,36.67,141.241,34.679
"1141",1141,146.934,41.632,154.955,35.219
"1142",1142,275.259,42.54,140.827,36.462
"1143",1143,227.4,44.567,157.267,36.754
"1144",1144,154.074,33.988,207.471,41.459
"1145",1145,191.016,40.295,148.928,45.394
"1146",1146,132.959,24.279,168.145,28.197
"1147",1147,167.795,38.766,132.321,40.153
"1148",1148,170.944,28.581,84.312,33.795
"1149",1149,226.437,39.695,160.196,40.057
"1150",1150,164.498,38.522,155.544,43.622
"1151",1151,130.298,38.236,170.657,39.81
"1152",1152,140.763,27.486,127.195,28.972
"1153",1153,238.249,37.459,173.207,40.981
"1154",1154,174.982,37.319,254.703,43.349
"1155",1155,118.169,32.151,107.928,32.391
"1156",1156,200.777,45.878,167.897,38.193
"1157",1157,117.914,28.177,125.417,21.584
"1158",1158,161.677,44.504,135.556,42.82
"1159",1159,153.457,35.489,149.972,39.187
"1160",1160,158.968,24.605,82.863,21.441
"1161",1161,159.472,35.25,217.203,42.053
"1162",1162,141.93,38.376,99.227,34.59
"1163",1163,143.193,30.439,134.983,24.504
"1164",1164,127.365,29.974,134.555,36.679
"1165",1165,114.656,19.487,99.624,15.697
"1166",1166,204.711,34.398,150.052,34.21
"1167",1167,224.025,45.348,238.076,42.521
"1168",1168,232.146,38.437,224.781,45.32
"1169",1169,157.489,47.883,170.8,40.448
"1170",1170,149.019,42.045,164.817,43.154
"1171",1171,167.686,39.825,156.965,35.65
"1172",1172,177.195,44.735,144.44,47.344
"1173",1173,143.074,31.25,188.313,37.211
"1174",1174,233.388,37.129,102.629,36.087
"1175",1175,178.528,40.144,251.965,31.296
"1176",1176,181.327,44.903,139.337,38.158
"1177",1177,168.807,30.277,153.39,45.527
"1178",1178,167.731,42.848,244.8,40.566
"1179",1179,117.642,30.93,173.42,28.934
"1180",1180,137.238,37.449,170.963,41.708
"1181",1181,143.838,39.598,137.245,40.867
"1182",1182,172.127,37.352,229.641,37.43
"1183",1183,138.017,45.122,143.097,30.438
"1184",1184,240.476,39.711,197.69,49.474
"1185",1185,187.888,44.828,168.851,42.211
"1186",1186,126.752,38.938,152.761,38.683
"1187",1187,123.292,40.829,162.783,46.813
"1188",1188,237.849,39.385,259.232,46.871
"1189",1189,210.27,45.751,198.488,44.991
"1190",1190,126.501,35.471,227.029,45.094
"1191",1191,156.792,43.679,176.626,38.54
"1192",1192,132.01,37.673,99.694,29.489
"1193",1193,122.778,34.745,112.796,32.111
"1194",1194,180.454,40.934,129.445,40.013
"1195",1195,86.826,15.55,47.362,13.03
"1196",1196,151.109,44.503,194.182,45.574
"1197",1197,217.346,32.808,227.353,39.436
"1198",1198,173.311,37.866,120.164,34.749
"1199",1199,164.513,47.515,269.621,31.212
"1200",1200,157.155,44.739,162.255,37.857
"1201",1201,204.252,33.461,228.12,36.626
"1202",1202,222.608,34.42,129.431,38.511
"1203",1203,270.28,33.633,171.578,38.736
"1204",1204,148.716,41.248,181.472,41.45
"1205",1205,201.498,42.828,223.453,48.455
"1206",1206,106.161,28.674,139.964,38.601
"1207",1207,198.8,38.152,96.187,33.656
"1208",1208,127.546,30.34,153.615,39.738
"1209",1209,110.304,32.27,230.328,47.207
"1210",1210,148.047,39.21,188.54,36.749
"1211",1211,236.778,44.41,180.13,42.929
"1212",1212,146.58,42.279,246.659,42.708
"1213",1213,228.092,44.637,159.474,36.682
"1214",1214,249.119,39.534,239.701,39.762
"1215",1215,206.83,35.663,165.894,32.904
"1216",1216,169.947,43.271,133.935,37.59
"1217",1217,159.745,25.993,107.853,23.345
"1218",1218,183.017,39.786,228.796,34.719
"1219",1219,128.203,33.683,231.402,42.183
"1220",1220,240.263,35.997,200.218,44.875
"1221",1221,170.415,36.715,121.673,45.477
"1222",1222,191.04,37.228,123.947,30.447
"1223",1223,153.472,39.981,157.476,37.112
"1224",1224,215.189,46.465,191.222,41.321
"1225",1225,148.246,46.153,118.339,31.365
"1226",1226,209.901,39.864,154.886,37.026
"1227",1227,193.64,44.752,150.801,33.169
"1228",1228,148.919,39.184,250.11,42.168
"1229",1229,157.668,36.602,205.905,43.233
"1230",1230,168.181,32.543,118.621,34.24
"1231",1231,147.251,42.769,210.353,34.256
"1232",1232,169.859,33.03,152.094,36.763
"1233",1233,231.288,37.698,171.228,44.314
"1234",1234,165.857,36.705,169.122,40.029
"1235",1235,116.343,30.972,114.379,33.311
"1236",1236,191.418,38.803,145.671,36.992
"1237",1237,236.612,47.417,148.772,36.709
"1238",1238,128.917,37.962,143.391,37.267
"1239",1239,186.486,41.975,167.3,42.655
"1240",1240,195.46,40.693,95.012,42.525
"1241",1241,205.369,41.238,149.723,35.487
"1242",1242,142.54,37.806,161.22,39.944
"1243",1243,181.58,39.553,88.02,33.911
"1244",1244,214.736,41.471,183.327,33.758
"1245",1245,227.422,28.881,133.641,36.708
"1246",1246,203.145,38.594,216.233,41.808
"1247",1247,183.588,40.015,183.827,35.765
"1248",1248,241.535,42.315,148.915,39.557
"1249",1249,155.207,36.673,150.499,29.95
"1250",1250,167.444,37.687,129.518,32.397
"1251",1251,243.395,41.897,214.578,47.61
"1252",1252,91.419,30.145,244.376,38.142
"1253",1253,82.31,18.118,130.269,22.471
"1254",1254,152.587,38.659,158.658,33.062
"1255",1255,257.096,40.983,171.783,32.621
"1256",1256,230.457,38.579,193.235,44.19
"1257",1257,104.944,22.3,135.813,23.441
"1258",1258,186.426,38.966,173.563,42.204
"1259",1259,124.349,40.285,167.224,38.287
"1260",1260,144.072,41.122,159.481,37.27
"1261",1261,139.591,39.119,205.575,43.224
"1262",1262,141.484,46.69,131.641,33.948
"1263",1263,156.236,40.978,138.17,39.554
"1264",1264,244.361,38.096,201.61,38.661
"1265",1265,152.334,32.54,261.567,37.447
"1266",1266,167.801,44.429,175.973,43.236
"1267",1267,169.789,42.165,206.158,42.022
"1268",1268,189.114,40.537,168.55,40.171
"1269",1269,64.22,6.28,54.459,6.564
"1270",1270,146.942,39.74,217.987,38.816
"1271",1271,221.427,35.465,134.18,40.047
"1272",1272,172.457,41.574,157.169,46.239
"1273",1273,205.306,41.962,239.902,29.362
"1274",1274,171.721,46.892,219.125,37.513
"1275",1275,166.152,43.455,192.8,44.653
"1276",1276,201.902,42.898,122.137,32.066
"1277",1277,46.496,12.576,92.93,14.842
"1278",1278,211.573,40.27,176.952,41.779
"1279",1279,158.183,43.384,137.217,31.59
"1280",1280,191.075,38.959,203.557,45.382
"1281",1281,143.249,37.153,100.36,31.323
"1282",1282,164.556,44.638,220.483,41.93
"1283",1283,146.154,35.94,175.294,41.647
"1284",1284,131.95,33.253,137.334,28.182
"1285",1285,156.646,43.387,155.98,35.532
"1286",1286,175.721,42.017,215.713,41.543
"1287",1287,129.256,48.598,182.651,33.704
"1288",1288,179.24,34.308,112.341,36.245
"1289",1289,36.545,0,30.074,4.094
"1290",1290,222.74,37.105,100.692,29.618
"1291",1291,211.748,39.169,254.445,34.672
"1292",1292,137.079,39.17,185.591,42.562
"1293",1293,180.781,37.302,209.254,42.581
"1294",1294,232.041,42.848,235.034,40.294
"1295",1295,166.329,41.072,162.098,34.349
"1296",1296,129.018,39.73,151.885,38.815
"1297",1297,136.972,40.86,147.428,35.6
